test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,AHfactor
0.5738,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5699,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5637,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5487,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.561,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5643,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5715,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5617,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5665,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5694,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5613,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5634,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5614,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5755,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5668,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5619,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5656,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5656,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5722,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5559,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5757,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5687,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5686,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5684,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
