test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,MHsigma
0.2869,1,False,2,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2516,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3473,1,False,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2713,1,False,2,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2556,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3413,1,False,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2787,1,False,2,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3285,1,False,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2599,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2809,1,False,2,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2433,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3354,1,False,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2857,1,False,2,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3394,1,False,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2598,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2573,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.277,1,False,2,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3425,1,False,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2753,1,False,2,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2591,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3353,1,False,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2904,1,False,2,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2549,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3317,1,False,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2707,1,False,2,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3387,1,False,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2606,1,True,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2924,1,False,2,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2623,1,True,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3315,1,False,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2787,1,False,2,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2444,1,True,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3374,1,False,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2822,1,False,2,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2371,1,True,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3354,1,False,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2801,1,False,2,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.258,1,True,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3461,1,False,1,False,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2762,1,False,2,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2421,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.341,1,False,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2666,1,False,2,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2481,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3463,1,False,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
