test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.466,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (64, 128)
0.4696,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 
0.4547,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.4737,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.4747,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5326,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (64)
0.5321,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5351,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5395,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5384,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.4519,3,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (64, 128, 512)
0.4486,3,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.1,4,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (64, 128, 512, 1048)

0.4826,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (64, 128)
0.5707,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (512)
0.1,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (512, 128)
0.1,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (512, 128)
0.1,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (512, 32)

0.4048,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (64, 64)

0.3609,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (128, 64)
0.4393,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (128, 128)
0.3254,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (128, 32)

0.2419,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001 (64, 32)
0.3426,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001





(64, 256, 1024):

0.1,3,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001

(64, 128, 512):
0.4628,3,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.4324,3,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.434,3,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.4235,3,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001


(64, 256):
0.4976,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.4934,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5041,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.4991,2,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001

(64, 128, 256, 5012):

(64, 64, 64):


anti-hebb repu:

0.5339,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.5282,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.5269,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.5019,2,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.5018,2,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.5123,2,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.4832,3,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.4695,3,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.4773,3,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.1,4,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.1,4,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64
0.1,4,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,64

anti-hebb softmax:


0.5426,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.534,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.5202,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.5072,2,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.4994,2,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.5028,2,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.4795,3,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.4734,3,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.4755,3,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.1,4,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.1,4,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64
0.1,4,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,64

