test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.4625,1,True,1,True,True,True,RePU,125,0.03,0.0001,0.001,0.01,0.001
0.4226,1,False,2,True,True,True,RePU,125,0.1,0.0001,0.001,0.01,0.001
0.4364,1,False,2,True,True,True,RePU,125,0.03,0.0001,0.001,0.01,0.001
0.4828,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.5185,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001
0.5164,1,False,2,True,True,True,RePU,125,0.0033,0.0001,0.001,0.01,0.001
0.4384,1,False,2,True,True,True,RePU,125,0.5,0.0001,0.001,0.01,0.001
0.4333,1,False,2,True,True,True,RePU,125,0.3,0.0001,0.001,0.01,0.001
0.4441,1,True,1,True,True,True,RePU,125,0.5,0.0001,0.001,0.01,0.001
0.4439,1,False,1,True,True,True,RePU,125,0.03,0.0001,0.001,0.01,0.001
0.5251,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001
0.4832,1,False,1,True,True,True,RePU,125,0.0033,0.0001,0.001,0.01,0.001
0.4492,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.463,1,True,1,True,True,True,RePU,125,0.3,0.0001,0.001,0.01,0.001
0.4518,1,True,1,True,True,True,RePU,125,0.1,0.0001,0.001,0.01,0.001
0.5369,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001
0.5022,1,True,1,True,True,True,RePU,125,0.0033,0.0001,0.001,0.01,0.001
0.4856,1,True,1,True,True,True,RePU,125,0.03,0.0001,0.001,0.01,0.001
0.4628,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001



new:

0.5321,1,True,1,True,True,True,Softmax,125,0.0001,0.0001,0.1,0.3,0.001,512
0.4254,1,True,1,True,True,True,Softmax,125,1e-05,0.0001,0.1,0.3,0.001,512
0.5694,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.345,1,True,1,True,True,True,Softmax,125,1e-06,0.0001,0.1,0.3,0.001,512
0.4718,1,True,1,True,True,True,Softmax,125,3e-05,0.0001,0.1,0.3,0.001,512
0.5634,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512
0.5624,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512
0.5306,1,True,1,True,True,True,Softmax,125,0.0001,0.0001,0.1,0.3,0.001,512
0.5635,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.4746,1,True,1,True,True,True,Softmax,125,3e-05,0.0001,0.1,0.3,0.001,512
0.428,1,True,1,True,True,True,Softmax,125,1e-05,0.0001,0.1,0.3,0.001,512
0.3504,1,True,1,True,True,True,Softmax,125,1e-06,0.0001,0.1,0.3,0.001,512
0.4772,1,True,1,True,True,True,Softmax,125,3e-05,0.0001,0.1,0.3,0.001,512
0.5629,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.43,1,True,1,True,True,True,Softmax,125,1e-05,0.0001,0.1,0.3,0.001,512
0.5671,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512
0.3414,1,True,1,True,True,True,Softmax,125,1e-06,0.0001,0.1,0.3,0.001,512
0.5329,1,True,1,True,True,True,Softmax,125,0.0001,0.0001,0.1,0.3,0.001,512
0.4734,1,True,1,True,True,True,Softmax,125,3e-05,0.0001,0.1,0.3,0.001,512
0.5318,1,True,1,True,True,True,Softmax,125,0.0001,0.0001,0.1,0.3,0.001,512
0.3401,1,True,1,True,True,True,Softmax,125,1e-06,0.0001,0.1,0.3,0.001,512
0.5688,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.4243,1,True,1,True,True,True,Softmax,125,1e-05,0.0001,0.1,0.3,0.001,512
0.5613,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512
0.5317,1,True,1,True,True,True,Softmax,125,0.0001,0.0001,0.1,0.3,0.001,512
0.5679,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.3454,1,True,1,True,True,True,Softmax,125,1e-06,0.0001,0.1,0.3,0.001,512
0.4731,1,True,1,True,True,True,Softmax,125,3e-05,0.0001,0.1,0.3,0.001,512
0.4237,1,True,1,True,True,True,Softmax,125,1e-05,0.0001,0.1,0.3,0.001,512
0.5616,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512


new: 

0.5705,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.5637,1,True,1,True,True,True,Softmax,125,0.0009,0.0001,0.1,0.3,0.001,512
0.5671,1,True,1,True,True,True,Softmax,125,0.0008,0.0001,0.1,0.3,0.001,512
0.5648,1,True,1,True,True,True,Softmax,125,0.0004,0.0001,0.1,0.3,0.001,512
0.5655,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512
0.5692,1,True,1,True,True,True,Softmax,125,0.0007,0.0001,0.1,0.3,0.001,512
0.5716,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001,512
0.5689,1,True,1,True,True,True,Softmax,125,0.0005,0.0001,0.1,0.3,0.001,512
0.5654,1,True,1,True,True,True,Softmax,125,0.0009,0.0001,0.1,0.3,0.001,512
0.5631,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.5726,1,True,1,True,True,True,Softmax,125,0.0007,0.0001,0.1,0.3,0.001,512
0.5638,1,True,1,True,True,True,Softmax,125,0.0005,0.0001,0.1,0.3,0.001,512
0.5697,1,True,1,True,True,True,Softmax,125,0.0004,0.0001,0.1,0.3,0.001,512
0.5729,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001,512
0.5684,1,True,1,True,True,True,Softmax,125,0.0008,0.0001,0.1,0.3,0.001,512
0.5598,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512
0.5678,1,True,1,True,True,True,Softmax,125,0.0009,0.0001,0.1,0.3,0.001,512
0.5643,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.5685,1,True,1,True,True,True,Softmax,125,0.0005,0.0001,0.1,0.3,0.001,512
0.5674,1,True,1,True,True,True,Softmax,125,0.0007,0.0001,0.1,0.3,0.001,512
0.5652,1,True,1,True,True,True,Softmax,125,0.0004,0.0001,0.1,0.3,0.001,512
0.5703,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001,512
0.5696,1,True,1,True,True,True,Softmax,125,0.0008,0.0001,0.1,0.3,0.001,512
0.5639,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512
0.5625,1,True,1,True,True,True,Softmax,125,0.0009,0.0001,0.1,0.3,0.001,512
0.564,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.567,1,True,1,True,True,True,Softmax,125,0.0005,0.0001,0.1,0.3,0.001,512
0.5702,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001,512
0.5675,1,True,1,True,True,True,Softmax,125,0.0004,0.0001,0.1,0.3,0.001,512
0.5703,1,True,1,True,True,True,Softmax,125,0.0007,0.0001,0.1,0.3,0.001,512
0.5684,1,True,1,True,True,True,Softmax,125,0.0008,0.0001,0.1,0.3,0.001,512
0.5652,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512
