test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.1,1,False,2,True,True,True,RePU,1,0.01,0.01,0.01,0.01,0.01
0.3854,1,False,2,True,True,True,RePU,250,0.01,0.01,0.01,0.01,0.01
0.4173,1,False,2,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.402,1,False,2,True,True,True,RePU,500,0.01,0.01,0.01,0.01,0.01
0.3592,1,True,1,True,True,True,RePU,250,0.01,0.01,0.01,0.01,0.01
0.1135,1,True,1,True,True,True,RePU,5,0.01,0.01,0.01,0.01,0.01
0.3164,1,True,1,True,True,True,RePU,25,0.01,0.01,0.01,0.01,0.01
0.3699,1,True,1,True,True,True,RePU,500,0.01,0.01,0.01,0.01,0.01
0.4066,1,True,1,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.1,1,True,1,True,True,True,RePU,1,0.01,0.01,0.01,0.01,0.01
0.139,1,False,1,True,True,True,RePU,5,0.01,0.01,0.01,0.01,0.01
0.3531,1,False,1,True,True,True,RePU,250,0.01,0.01,0.01,0.01,0.01
0.3594,1,False,1,True,True,True,RePU,500,0.01,0.01,0.01,0.01,0.01
0.3516,1,False,1,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.1,1,False,1,True,True,True,RePU,1,0.01,0.01,0.01,0.01,0.01
0.2932,1,False,1,True,True,True,RePU,25,0.01,0.01,0.01,0.01,0.01
