test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.4628,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.1,0.01,0.01
0.477,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.4844,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4909,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.0033,0.01,0.01
0.4772,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.1,0.01,0.01
0.4818,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.3,0.01,0.01
0.4716,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.5,0.01,0.01
0.4661,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4692,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.0033,0.01,0.01
0.4609,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.5,0.01,0.01
0.4655,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.3,0.01,0.01
0.4665,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.1,0.01,0.01
0.487,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.4422,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4549,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.1,0.01,0.01
0.4317,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.0033,0.01,0.01
0.4461,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.4506,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.5,0.01,0.01
0.4511,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.3,0.01,0.01
