test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.1005,1,False,2,True,True,True,RePU,125,0.01,0.1,0.01,0.01,0.01
0.4191,1,False,2,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.4876,1,False,2,True,True,True,RePU,125,0.01,0.001,0.01,0.01,0.01
0.1008,1,False,2,True,True,True,RePU,125,0.01,0.3,0.01,0.01,0.01
0.4839,1,False,2,True,True,True,RePU,125,0.01,0.0033,0.01,0.01,0.01
0.4927,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.1006,1,True,1,True,True,True,RePU,125,0.01,0.3,0.01,0.01,0.01
0.4222,1,True,1,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.4631,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.1005,1,True,1,True,True,True,RePU,125,0.01,0.1,0.01,0.01,0.01
0.4464,1,True,1,True,True,True,RePU,125,0.01,0.001,0.01,0.01,0.01
0.449,1,True,1,True,True,True,RePU,125,0.01,0.0033,0.01,0.01,0.01
0.4355,1,False,1,True,True,True,RePU,125,0.01,0.0033,0.01,0.01,0.01
0.101,1,False,1,True,True,True,RePU,125,0.01,0.1,0.01,0.01,0.01
0.3737,1,False,1,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.1009,1,False,1,True,True,True,RePU,125,0.01,0.3,0.01,0.01,0.01
0.4265,1,False,1,True,True,True,RePU,125,0.01,0.001,0.01,0.01,0.01
0.4545,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01


anti-hebbian repu:

0.4785,1,True,1,True,False,True,RePU,500,0.001,0.01,0.01,0.1,0.0033,512
0.5406,1,True,1,True,False,True,RePU,500,0.001,0.0033,0.01,0.1,0.0033,512
0.1016,1,True,1,True,False,True,RePU,500,0.001,0.1,0.01,0.1,0.0033,512
0.1009,1,True,1,True,False,True,RePU,500,0.001,0.3,0.01,0.1,0.0033,512
0.5714,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.4668,1,True,1,True,False,True,RePU,500,0.001,0.01,0.01,0.1,0.0033,512
0.57,1,True,1,True,False,True,RePU,500,0.001,0.001,0.01,0.1,0.0033,512
0.5306,1,True,1,True,False,True,RePU,500,0.001,0.0033,0.01,0.1,0.0033,512
0.1009,1,True,1,True,False,True,RePU,500,0.001,0.3,0.01,0.1,0.0033,512
0.5726,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.1014,1,True,1,True,False,True,RePU,500,0.001,0.1,0.01,0.1,0.0033,512
0.573,1,True,1,True,False,True,RePU,500,0.001,0.001,0.01,0.1,0.0033,512
0.1012,1,True,1,True,False,True,RePU,500,0.001,0.1,0.01,0.1,0.0033,512
0.4805,1,True,1,True,False,True,RePU,500,0.001,0.01,0.01,0.1,0.0033,512
