test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.4448,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4693,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.1
0.4837,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4886,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.0033
0.4918,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4195,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.5
0.4257,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.3
0.4602,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4633,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4362,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.3
0.4521,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.1
0.4538,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.0033
0.4209,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.5
0.462,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.3995,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.5
0.4455,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.0033
0.4472,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.1
0.4542,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.409,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.3


blr antihebbian RePU:

0.5339,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.1,512
0.5237,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.5,512
0.5388,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.3,512
0.546,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.01,512
0.5624,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.0033,512
0.546,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.01,512
0.5264,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.1,512
0.5293,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.3,512
0.5248,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.5,512
0.5513,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.001,512
0.5603,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5548,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.001,512
0.5227,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.3,512
0.5561,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.01,512
0.5236,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.5,512
0.5301,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.1,512
0.5477,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.01,512
0.538,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.1,512
0.5553,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.001,512
0.5553,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5179,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.5,512
0.5553,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.001,512
0.5477,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5211,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.3,512
0.5576,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.01,512
0.5313,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.3,512
0.5368,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.1,512
0.5163,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.5,512
0.555,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.001,512
0.5292,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.5,512
0.5484,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5374,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.1,512
0.5261,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.3,512
0.5567,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.001,512
0.5584,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5526,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.01,512


blr antihebbian softmax:

0.5303,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.3,512
0.5308,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.1,512
0.528,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.5,512
0.5491,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.01,512
0.5515,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.01,512
0.53,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.3,512
0.5554,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5275,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.1,512
0.548,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.001,512
0.5273,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.5,512
0.5545,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.001,512
0.5632,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5464,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.01,512
0.5353,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.1,512
0.5347,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.3,512
0.5343,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.5,512
0.5441,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5359,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.3,512
0.554,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.0033,512
0.546,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.01,512
0.5352,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.5,512
0.555,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.001,512
0.5356,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.1,512
0.5617,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.001,512
0.541,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.3,512
0.5281,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.5,512
