test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib
0.25,2,False,2,False,False,False,RePU
0.2218,2,False,2,False,False,False,Softmax
0.215,2,False,2,False,True,False,Softmax
0.2652,2,False,2,False,True,False,RePU
0.1711,2,False,2,True,False,True,Softmax
0.1965,2,False,2,False,False,True,Softmax
0.2328,2,False,2,False,True,True,Softmax
0.2355,2,False,2,False,True,True,RePU
0.2127,2,False,2,True,False,True,RePU
0.3078,2,False,2,True,True,False,RePU
0.2496,2,False,2,True,True,True,Softmax
0.1742,2,False,2,True,False,False,RePU
0.1979,2,False,2,True,True,True,RePU
0.2311,2,False,2,True,False,False,Softmax
0.2597,2,False,2,True,True,False,Softmax
0.3442,2,True,1,False,False,False,Softmax
0.2789,2,True,1,False,True,False,RePU
0.3168,2,True,1,False,False,False,RePU
0.2306,2,False,1,False,False,False,RePU
0.3235,2,True,1,False,False,True,RePU
0.2777,2,False,1,False,False,False,Softmax
0.2779,2,False,1,False,True,False,Softmax
0.258,2,False,1,False,True,False,RePU
0.2838,2,True,1,False,True,False,Softmax
0.3099,2,True,1,True,False,True,RePU
0.2796,2,True,1,False,False,True,Softmax
0.2951,2,True,1,False,True,True,Softmax
0.3167,2,True,1,True,False,True,Softmax
0.2734,2,False,1,False,False,True,Softmax
0.2862,2,True,1,False,True,True,RePU
0.2802,2,False,1,False,False,True,RePU
0.2707,2,False,1,True,False,True,RePU
0.2847,2,False,1,True,False,True,Softmax
0.2567,2,False,1,True,False,False,Softmax
0.3121,2,True,1,True,False,False,RePU
0.2494,2,False,1,False,True,True,RePU
0.3041,2,True,1,True,False,False,Softmax
0.3484,2,True,1,True,True,True,Softmax
0.3132,2,True,1,True,True,False,Softmax
0.2846,2,False,1,True,True,True,Softmax
0.271,2,False,1,True,False,False,RePU
0.3083,2,True,1,True,True,True,RePU
0.2675,2,False,1,False,True,True,Softmax
0.2855,2,False,1,True,True,True,RePU
0.257,2,False,1,True,True,False,Softmax
0.2642,2,False,1,True,True,False,RePU
0.1916,2,False,2,False,False,False,RePU
0.2315,2,False,2,False,False,False,Softmax
0.1839,2,False,2,False,True,False,RePU
0.2525,2,False,2,False,True,False,Softmax
0.2016,2,False,2,False,True,True,RePU
0.253,2,False,2,False,True,True,Softmax
0.2347,2,False,2,True,True,True,Softmax
0.1929,2,False,2,True,False,True,Softmax
0.1744,2,False,2,True,True,True,RePU
0.1895,2,False,2,True,False,True,RePU
0.1927,2,False,2,True,False,False,Softmax
0.1757,2,False,2,True,False,False,RePU
0.2587,2,False,2,False,False,True,RePU
0.1775,2,False,2,False,False,True,Softmax
0.2296,2,False,2,True,True,False,Softmax
0.2131,2,False,2,True,True,False,RePU
0.2353,2,False,1,False,False,False,Softmax
0.2971,2,True,1,False,False,False,RePU
0.282,2,True,1,False,False,False,Softmax
0.3189,2,False,1,False,False,False,RePU
0.3096,2,True,1,False,True,False,RePU
0.2911,2,True,1,False,True,False,Softmax
0.2906,2,False,1,False,True,False,RePU
0.2772,2,False,1,False,True,False,Softmax
0.269,2,True,1,False,True,True,RePU
0.2783,2,False,1,True,False,True,RePU
0.2537,2,False,1,False,True,True,Softmax
0.3065,2,True,1,True,False,True,RePU
0.2844,2,True,1,True,False,True,Softmax
0.3105,2,True,1,True,True,True,RePU
0.2668,2,False,1,True,False,True,Softmax
0.3058,2,True,1,False,True,True,Softmax
0.2875,2,False,1,False,True,True,RePU
0.3098,2,True,1,True,True,True,Softmax
0.2638,2,False,1,True,False,False,Softmax
0.307,2,False,1,True,True,True,Softmax
