test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib
0.2839,1,False,2,True,True,True,REPU
0.3014,1,False,2,True,True,True,REPU
0.2925,1,False,2,True,True,False,REPU
0.3134,1,False,2,True,True,True,REPU
0.2797,1,False,2,True,True,True,REPU
0.286,1,False,2,True,True,False,REPU
0.259,1,False,2,True,True,False,REPU
0.2959,1,False,2,False,True,False,REPU
0.2388,1,False,2,False,True,False,REPU
0.2404,1,False,2,True,True,False,REPU
0.3005,1,False,2,False,True,False,REPU
0.3168,1,False,2,False,True,False,REPU
0.2857,1,False,2,False,True,False,REPU
0.282,1,False,2,False,True,True,REPU
0.2892,1,False,2,True,True,True,REPU
0.2685,1,False,2,False,True,True,REPU
0.2946,1,False,2,False,True,True,REPU
0.2732,1,False,2,False,True,True,REPU
0.3088,1,False,2,False,True,True,REPU
0.309,1,False,2,True,True,False,REPU
0.3397,1,False,1,True,True,True,REPU
0.3323,1,False,1,True,True,False,REPU
0.3557,1,True,1,True,True,False,REPU
0.2488,1,False,1,True,True,True,REPU
0.293,1,False,1,False,True,True,REPU
0.3394,1,False,1,False,True,True,REPU
0.2223,1,False,1,False,True,True,REPU
0.241,1,True,1,True,True,False,REPU
0.3455,1,True,1,True,True,True,REPU
0.2681,1,True,1,True,True,True,REPU
0.2079,1,True,1,True,True,False,REPU
0.1916,1,False,1,False,True,True,REPU
0.3244,1,False,1,True,True,False,REPU
0.3063,1,True,1,False,True,False,REPU
0.1889,1,True,1,False,True,False,REPU
0.3535,1,False,1,False,True,True,REPU
0.3717,1,True,1,True,True,False,REPU
0.2698,1,True,1,False,True,False,REPU
0.3327,1,True,1,False,True,False,REPU

0.3502,1,False,1,False,True,False,REPU
0.3284,1,False,1,True,True,False,REPU
0.2013,1,True,1,False,True,False,REPU
0.2459,1,False,1,False,True,False,REPU
0.1875,1,False,1,True,True,False,REPU
0.2453,1,False,1,False,True,False,REPU
0.3305,1,False,1,False,True,False,REPU
0.3838,1,True,1,True,True,True,REPU
0.3242,1,False,1,True,True,True,REPU
0.201,1,True,1,True,True,True,REPU
0.2847,1,True,1,True,True,True,REPU
0.3451,1,False,1,True,True,True,REPU
0.2549,1,True,1,False,True,True,REPU
0.2916,1,True,1,False,True,True,REPU
0.3412,1,False,1,True,True,False,REPU
0.3754,1,True,1,False,True,True,REPU
0.2654,1,False,1,True,True,True,REPU
0.2648,1,True,1,False,True,True,REPU
0.2017,1,True,1,False,True,True,REPU
