test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib
0.2208,1,False,2,True,True,True,REPU
0.2476,1,False,2,True,True,False,REPU
0.2872,1,False,2,False,True,False,REPU
0.2484,1,False,2,True,True,True,REPU
0.3165,1,False,2,True,True,True,REPU
0.2899,1,False,2,True,True,True,REPU
0.3179,1,False,2,True,True,False,REPU
0.2981,1,False,2,True,True,False,REPU
0.2621,1,False,2,True,True,False,REPU
0.2921,1,False,2,True,True,False,REPU
0.2837,1,False,2,False,True,True,REPU
0.266,1,False,2,False,True,True,REPU
0.3349,1,False,2,False,True,False,REPU
0.2801,1,False,2,False,True,False,REPU
0.3147,1,False,2,False,True,True,REPU
0.2714,1,False,2,False,True,False,REPU
0.3104,1,False,2,False,True,False,REPU
0.2197,1,False,2,False,True,True,REPU
0.2998,1,False,1,False,True,False,REPU
0.3308,1,False,1,False,True,False,REPU
0.3295,1,False,1,True,True,True,REPU
0.309,1,False,1,False,True,True,REPU

0.2643,1,False,1,True,True,True,REPU
0.2305,1,False,1,False,True,True,REPU
0.3202,1,True,1,False,True,True,REPU
0.3479,1,False,1,True,True,True,REPU
0.316,1,False,1,True,True,False,REPU
0.3017,1,True,1,True,True,True,REPU
0.2232,1,True,1,True,True,False,REPU
0.3382,1,True,1,True,True,True,REPU
0.3019,1,True,1,False,True,False,REPU
0.1964,1,True,1,True,True,False,REPU
0.2849,1,False,1,True,True,False,REPU
0.3516,1,True,1,False,True,True,REPU
0.2814,1,True,1,False,True,False,REPU
0.2639,1,False,1,True,True,True,REPU
0.3177,1,False,1,False,True,False,REPU
0.2801,1,False,1,False,True,False,REPU
0.2941,1,True,1,True,True,True,REPU
0.2392,1,True,1,True,True,False,REPU
0.19,1,False,1,True,True,False,REPU
0.2678,1,True,1,False,True,True,REPU
0.2176,1,False,1,True,True,True,REPU
0.2123,1,False,1,False,True,True,REPU
0.2514,1,True,1,True,True,False,REPU
0.2835,1,True,1,False,True,False,REPU
0.2625,1,False,1,False,True,True,REPU
0.3518,1,True,1,True,True,True,REPU
0.3046,1,False,1,False,True,True,REPU
0.3578,1,True,1,True,True,True,REPU
0.2954,1,True,1,False,True,False,REPU
0.3223,1,True,1,True,True,False,REPU
0.3689,1,True,1,False,True,True,REPU

0.1998,1,True,1,False,True,False,REPU
0.285,1,False,1,True,True,False,REPU
0.2447,1,True,1,False,True,True,REPU
