test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.4534,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.3,0.01
0.4867,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4826,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.3,0.01
0.4858,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.1,0.01
0.4853,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.5,0.01
0.4936,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.0033,0.01
0.4878,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.001,0.01
0.4579,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.3,0.01
0.4516,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4639,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.5,0.01
0.4682,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.001,0.01
0.4544,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.1,0.01
0.4696,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4618,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.001,0.01
0.4807,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.3,0.01
0.4663,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.1,0.01
0.4548,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.0033,0.01
0.4771,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.5,0.01
