test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize
0.5575,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,512
0.5328,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,512
0.555,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,1024
0.5333,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,1024
0.5503,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,1024
0.5301,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,1024
0.556,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,2048
0.5587,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,2048
0.5356,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,2048
0.5322,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,2048
