test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func
0.8505,512,243,0.3,0.01,0,true,true,softmax
0.8425,512,243,0.3,0.01,0,true,true,softmax
0.8517,512,243,0.3,0.01,0,true,true,softmax
0.8159,512,243,0.3,0.01,0.001,true,true,softmax
0.8279,512,243,0.3,0.01,0.001,true,true,softmax
0.8385,512,243,0.3,0.01,0,true,true,softmax
0.8389,512,243,0.3,0.01,0,true,true,softmax
0.8212,512,243,0.3,0.01,0.001,true,true,softmax
0.8569,512,243,0.3,0.01,0.001,true,true,softmax
0.8533,512,243,0.3,0.01,0.001,true,true,softmax
0.1198,256,1024,0.01,0.1,0.01,true,true,repu
0.087,256,1024,0.01,0.1,0.01,true,true,repu
0.1511,256,256,0.01,0.1,0.01,true,true,repu
0.106,256,256,0.01,0.1,0.01,true,true,repu
0.1428,256,256,0.01,0.1,0.01,true,true,repu
0.1251,256,256,0.01,0.1,0.01,true,true,repu
0.1395,256,256,0.01,0.1,0.01,true,true,repu
0.1345,256,256,0.01,0.1,0.01,true,true,repu
0.5891,256,50,0.01,0.1,0.01,true,true,repu
0.134,256,125,0.01,0.1,0.01,true,true,repu
0.6026,256,50,0.01,0.1,0.01,true,true,repu
0.2456,256,125,0.01,0.1,0.01,true,true,repu
0.5831,256,50,0.01,0.1,0.01,true,true,repu
0.5807,256,50,0.01,0.1,0.01,true,true,repu
0.0991,256,512,0.01,0.1,0.01,true,true,repu
0.1144,256,1024,0.01,0.1,0.01,true,true,repu
0.0986,256,512,0.01,0.1,0.01,true,true,repu
0.0979,256,512,0.01,0.1,0.01,true,true,repu
0.119,256,1024,0.01,0.1,0.01,true,true,repu
0.127,256,512,0.01,0.1,0.01,true,true,repu
0.0981,256,1024,0.01,0.1,0.01,true,true,repu
0.1381,256,512,0.01,0.1,0.01,true,true,repu
0.11,256,1024,0.01,0.1,0.01,true,true,repu
0.4849,256,50,0.01,0.1,0.01,true,true,repu
0.6727,256,50,0.01,0.1,0.01,true,true,repu
0.4119,256,50,0.01,0.1,0.01,true,true,repu
0.0974,256,512,0.01,0.1,0.01,true,true,repu
0.098,256,1024,0.01,0.1,0.01,true,true,repu
0.1416,256,125,0.01,0.1,0.01,true,true,repu
0.4741,256,50,0.01,0.1,0.01,true,true,repu
0.1752,256,125,0.01,0.1,0.01,true,true,repu
0.1174,256,1024,0.01,0.1,0.01,true,true,repu
0.2145,256,125,0.01,0.1,0.01,true,true,repu
0.5856,256,50,0.01,0.1,0.01,true,true,repu
0.2666,256,125,0.01,0.1,0.01,true,true,repu
0.28,256,125,0.01,1,0.1,0.01,true,true,repu
0.1033,256,256,0.01,0.1,0.01,true,true,repu
0.1376,256,256,0.01,0.1,0.01,true,true,repu
0.0899,256,512,0.01,0.1,0.01,true,true,repu
0.1733,256,256,0.01,0.1,0.01,true,true,repu
0.3726,256,50,0.01,0.1,0.01,true,true,repu
0.1263,256,512,0.01,0.1,0.01,true,true,repu
0.1031,256,512,0.01,0.1,0.01,true,true,repu
0.1798,256,125,0.01,0.1,0.01,true,true,repu
0.1243,256,1024,0.01,0.1,0.01,true,true,repu
0.1098,256,512,0.01,0.1,0.01,true,true,repu
0.1199,256,1024,0.01,0.1,0.01,true,true,repu
0.1576,256,125,0.01,0.1,0.01,true,true,repu
0.1325,2,5,0.01,0.1,0.01,true,true,repu
0.098,2,5,0.01,0.1,0.01,true,true,repu
0.1622,2,5,0.01,0.1,0.01,true,true,repu
0.2257,2,5,0.01,0.1,0.01,true,true,repu
0.1164,2,5,0.01,0.1,0.01,true,true,repu
0.1482,2,5,0.01,0.1,0.01,true,true,repu
0.0701,2,5,0.01,0.1,0.01,true,true,repu
0.1668,2,5,0.01,0.1,0.01,true,true,repu
0.1425,2,5,0.01,0.1,0.01,true,true,repu
0.6432,200,5,0.01,0.1,0.01,true,true,repu
0.2146,2,5,0.01,0.1,0.01,true,true,repu
0.7301,200,5,0.01,0.1,0.01,true,true,repu
0.7122,200,5,0.01,0.1,0.01,true,true,repu
0.66,200,5,0.01,0.1,0.01,true,true,repu
0.5952,200,5,0.01,0.1,0.01,true,true,repu
0.8011,200,5,0.01,0.1,0.01,true,true,repu
0.7195,200,5,0.01,0.1,0.01,true,true,repu
0.7588,200,5,0.01,0.1,0.01,true,true,repu
0.6668,200,5,0.01,0.1,0.01,true,true,repu
0.685,200,5,0.01,0.1,0.01,true,true,repu
0.6486,512,5,0.01,0.1,0.01,true,true,repu
0.6411,512,5,0.01,0.1,0.01,true,true,repu
0.6818,512,5,0.01,0.1,0.01,true,true,repu
0.7384,512,5,0.01,0.1,0.01,true,true,repu
0.6336,512,5,0.01,0.1,0.01,true,true,repu
0.6624,512,5,0.01,0.1,0.01,true,true,repu
0.7453,512,5,0.01,0.1,0.01,true,true,repu
0.689,512,5,0.01,0.1,0.01,true,true,repu
0.7099,512,5,0.01,0.1,0.01,true,true,repu
0.617,512,5,0.01,0.1,0.01,true,true,repu
0.6515,1024,5,0.01,0.1,0.01,true,true,repu
0.6932,1024,5,0.01,0.1,0.01,true,true,repu
0.7453,1024,5,0.01,0.1,0.01,true,true,repu
0.5702,1024,5,0.01,0.1,0.01,true,true,repu
0.5926,1024,5,0.01,0.1,0.01,true,true,repu
0.5545,1024,5,0.01,0.1,0.01,true,true,repu
0.6141,1024,5,0.01,0.1,0.01,true,true,repu
0.5692,1024,5,0.01,0.1,0.01,true,true,repu
0.6891,1024,5,0.01,0.1,0.01,true,true,repu
0.6517,1024,5,0.01,0.1,0.01,true,true,repu
0.7163,256,5,0.001,0.1,0.01,true,true,repu
0.656,256,5,0.001,0.1,0.01,true,true,repu
0.6729,256,5,0.001,0.1,0.01,true,true,repu
0.6313,256,5,0.001,0.1,0.01,true,true,repu
0.8089,256,5,0.033,0.1,0.01,true,true,repu
0.7602,256,5,0.1,0.1,0.01,true,true,repu
0.7076,256,5,0.033,0.1,0.01,true,true,repu
0.7438,256,5,0.033,0.1,0.01,true,true,repu
0.7412,256,5,0.033,0.1,0.01,true,true,repu
0.6975,256,5,0.033,0.1,0.01,true,true,repu
0.783,256,5,0.033,0.1,0.01,true,true,repu
0.8122,256,5,0.3,0.1,0.01,true,true,repu
0.7133,256,5,0.033,0.1,0.01,true,true,repu
0.7386,256,5,0.1,0.1,0.01,true,true,repu
0.6549,256,5,0.3,0.1,0.01,true,true,repu
0.098,256,5,0.3,0.1,0.01,true,true,repu
0.7143,256,5,0.3,0.1,0.01,true,true,repu
0.7608,256,5,0.3,0.1,0.01,true,true,repu
0.6778,256,5,0.3,0.1,0.01,true,true,repu
0.7606,256,5,0.033,0.1,0.01,true,true,repu
0.6969,256,5,0.3,0.1,0.01,true,true,repu
0.7661,256,5,0.1,0.1,0.01,true,true,repu
0.8263,256,5,0.3,0.1,0.01,true,true,repu
0.7022,256,5,0.001,0.1,0.01,true,true,repu
0.6798,256,5,0.3,0.1,0.01,true,true,repu
0.5269,256,5,0.001,0.1,0.01,true,true,repu
0.633,256,5,0.001,0.1,0.01,true,true,repu
0.6367,256,5,0.001,0.1,0.01,true,true,repu
0.098,256,5,0.1,0.1,0.01,true,true,repu
0.7698,256,5,0.033,0.1,0.01,true,true,repu
0.6087,256,5,0.001,0.1,0.01,true,true,repu
0.7769,256,5,0.001,0.1,0.01,true,true,repu
0.7372,256,5,0.1,0.1,0.01,true,true,repu
0.7308,256,5,0.1,0.1,0.01,true,true,repu
0.7187,256,5,0.3,0.1,0.01,true,true,repu
0.8321,256,5,0.1,0.1,0.01,true,true,repu
0.745,256,5,0.1,0.1,0.01,true,true,repu
0.7396,256,5,0.033,0.3,0.01,true,true,repu
0.7348,256,5,0.033,0.3,0.01,true,true,repu
0.7701,256,5,0.033,0.3,0.01,true,true,repu
0.7084,256,5,0.033,0.3,0.01,true,true,repu
0.6968,256,5,0.033,0.033,0.01,true,true,repu
0.7746,256,5,0.033,0.033,0.01,true,true,repu
0.7679,256,5,0.033,0.033,0.01,true,true,repu
0.6092,256,5,0.033,0.3,0.01,true,true,repu
0.098,256,5,0.033,0.033,0.01,true,true,repu
0.7941,256,5,0.033,0.033,0.01,true,true,repu
0.7808,256,5,0.033,0.033,0.01,true,true,repu
0.6385,256,5,0.033,0.3,0.01,true,true,repu
0.806,256,5,0.033,0.01,0.01,true,true,repu
0.7627,256,5,0.033,0,0.01,true,true,repu
0.8091,256,5,0.033,0.01,0.01,true,true,repu
0.7136,256,5,0.033,0,0.01,true,true,repu
0.7186,256,5,0.033,0.3,0.01,true,true,repu
0.7488,256,5,0.033,0,0.01,true,true,repu
0.7758,256,5,0.033,0.3,0.01,true,true,repu
0.6332,256,5,0.033,0,0.01,true,true,repu
0.721,256,5,0.033,0.3,0.01,true,true,repu
0.6809,256,5,0.033,0.3,0.01,true,true,repu
0.642,256,5,0.033,0.01,0.01,true,true,repu
0.776,256,5,0.033,0.01,0.01,true,true,repu
0.098,256,5,0.033,0,0.01,true,true,repu
0.7323,256,5,0.033,0,0.01,true,true,repu
0.676,256,5,0.033,0.01,0.01,true,true,repu
0.6882,256,5,0.033,0,0.01,true,true,repu
0.7043,256,5,0.033,0.01,0.01,true,true,repu
0.6628,256,5,0.033,0.01,0.01,true,true,repu
0.7976,256,5,0.033,0,0.01,true,true,repu
0.6741,256,5,0.033,0.01,0.01,true,true,repu
0.6627,256,5,0.033,0.01,0.01,true,true,repu
0.7563,256,5,0.033,0.033,0.01,true,true,repu
0.7558,256,5,0.033,0.033,0.01,true,true,repu
0.5257,256,5,0.033,0.01,0.01,true,true,repu
0.7943,256,5,0.033,0,0.01,true,true,repu
0.7738,256,5,0.033,0.033,0.01,true,true,repu
0.6911,256,5,0.033,0.033,0.01,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.5194,256,5,0.033,0.1,0.001,true,true,repu
0.7407,256,5,0.033,0.1,0.001,true,true,repu
0.4932,256,5,0.033,0.1,0,true,true,repu
0.5437,256,5,0.033,0.1,0.001,true,true,repu
0.6539,256,5,0.033,0.1,0,true,true,repu
0.7085,256,5,0.033,0.1,0.001,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.6915,256,5,0.033,0.1,0,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.6805,256,5,0.033,0.1,0.001,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.505,256,5,0.033,0.1,0,true,true,repu
0.7373,256,5,0.033,0.1,0.033,true,true,repu
0.6447,256,5,0.033,0.1,0,true,true,repu
0.7016,256,5,0.033,0.1,0.001,true,true,repu
0.7784,256,5,0.033,0.1,0.033,true,true,repu
0.6777,256,5,0.033,0.1,0.001,true,true,repu
0.098,256,5,0.033,0.1,0.033,true,true,repu
0.7698,256,5,0.033,0.1,0.033,true,true,repu
0.7734,256,5,0.033,0.1,0.033,true,true,repu
0.5305,256,5,0.033,0.1,0,true,true,repu
0.5204,256,5,0.033,0.1,0.001,true,true,repu
0.7034,256,5,0.033,0.1,0.033,true,true,repu
0.5731,256,5,0.033,0.1,0,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.6724,256,5,0.033,0.1,0,true,true,repu
0.6723,256,5,0.033,0.1,0,true,true,repu
0.5575,256,5,0.033,0.1,0.001,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.098,256,5,0.033,0.1,0.033,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.098,256,5,0.033,0.1,0.033,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.098,256,5,0.033,0.1,0.033,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.098,256,5,0.033,0.1,0.1,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.098,256,5,0.033,0.1,0.33,true,true,repu
0.8914,2048,243,0.3,0.01,0.01,true,true,softmax
0.8824,2048,243,0.3,0.01,0.01,true,true,softmax
0.883,2048,243,0.3,0.01,0.01,true,true,softmax
0.8974,2048,243,0.3,0.01,0.01,true,true,softmax
0.9012,2048,243,0.3,0.01,0.01,true,true,softmax
0.8905,2048,243,0.3,0.01,0.01,true,true,softmax
0.8872,2048,243,0.3,0.01,0.01,true,true,softmax
0.8806,2048,243,0.3,0.01,0.01,true,true,softmax
0.8998,2048,243,0.3,0.01,0.01,true,true,softmax
0.8921,2048,243,0.3,0.01,0.01,true,true,softmax
0.8825,2048,243,0.3,0.01,0.01,true,true,softmax
0.9011,2048,243,0.3,0.01,0.01,true,true,softmax
0.9033,2048,243,0.3,0.01,0.01,true,true,softmax
0.8943,2048,243,0.3,0.01,0.01,true,true,softmax
0.8957,2048,243,0.3,0.01,0.01,true,true,softmax
0.8911,2048,243,0.3,0.01,0.01,true,true,softmax
0.8937,2048,243,0.3,0.01,0.01,true,true,softmax
0.8863,2048,243,0.3,0.01,0.01,true,true,softmax
0.8863,2048,243,0.3,0.01,0.01,true,true,softmax
