test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm,num_layers
0.8788,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8864,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8737,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8987,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8778,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8864,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.888,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8856,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8702,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8685,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8729,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.883,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.883,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8705,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8834,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8618,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8815,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8777,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8989,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8745,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8697,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8857,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.866,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8829,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8448,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8797,1024,250,0.3,0.0033,0.1,true,true,softmax,0.01,5

